           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;88.58;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2013;Tahun;83.94;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;86.79;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;61.86;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;83.79;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;84.7;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;50.26;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;44.52;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;87.67;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;35.53;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;69.52;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;88.58;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2012;Tahun;82.42;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2011;Tahun;91.7;Kebebasan Berkumpul dan Berserikat
