provinsi;year;kebebasan_sipil;hak_politik;lembaga_demokrasi;IDI
DI YOGYAKARTA;2016;90,00;81,59;86,37;85,99
JAMBI;2020;82,71;62,98;86,45;77,38
SULAWESI TENGAH;2018;91,90;54,94;86,72;77,85
SULAWESI SELATAN;2011;80,97;39,33;86,87;69,06
KEP. BANGKA BELITUNG;2014;89,80;56,48;87,01;77,76
DKI JAKARTA;2017;87,73;80,86;87,12;85,24
BANTEN;2011;80,41;44,57;87,18;70,72
NUSA TENGGARA BARAT;2020;78,38;62,88;87,21;76,16
BANTEN;2014;81,10;63,68;87,22;77,33
KALIMANTAN BARAT;2011;97,15;49,34;87,38;77,96
DKI JAKARTA;2018;95,09;75,43;87,82;86,11
NUSA TENGGARA BARAT;2015;51,59;61,11;88,36;67,02
KALIMANTAN SELATAN;2018;69,26;83,03;88,37;80,22
SUMATERA BARAT;2018;55,32;62,84;88,52;68,89
SUMATERA BARAT;2014;47,21;61,82;88,56;65,86
ACEH;2014;69,76;63,94;88,73;74,14
KALIMANTAN SELATAN;2017;60,16;81,09;88,79;76,68
DKI JAKARTA;2012;88,11;62,52;88,81;79,81
DI YOGYAKARTA;2014;86,25;76,07;88,82;83,71
KALIMANTAN SELATAN;2012;49,51;52,59;89,33;63,81
RIAU;2018;86,88;62,77;89,47;79,71
JAMBI;2014;78,23;54,01;89,48;73,91
BALI;2018;94,72;68,08;89,55;84,12
KALIMANTAN TENGAH;2011;92,56;54,73;90,04;79,11
BALI;2019;90,60;68,38;90,42;83,13
JAWA TENGAH;2019;78,43;67,91;90,50;78,95
GORONTALO;2020;86,42;75,89;90,81;84,37
DKI JAKARTA;2020;93,27;84,95;90,86;89,69
SUMATERA BARAT;2020;66,59;66,80;90,91;74,77
NUSA TENGGARA BARAT;2019;78,36;66,14;91,16;78,55
SULAWESI TENGAH;2019;96,19;53,21;91,68;80,36
DKI JAKARTA;2019;91,01;83,86;91,89;88,92
SUMATERA BARAT;2019;56,58;61,06;92,21;69,95
SUMATERA BARAT;2017;61,66;61,08;92,72;71,82
KEP. BANGKA BELITUNG;2020;79,12;66,20;92,97;79,43
DKI JAKARTA;2014;91,72;73,94;92,97;86,21
DKI JAKARTA;2011;89,94;58,32;93,50;80,59
NUSA TENGGARA BARAT;2017;79,40;62,08;93,98;78,49
