           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.59;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.46;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.17;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.42;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.68;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.57;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.59;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2009;Tahun;0.15;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2009;Tahun;0.7;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2009;Tahun;0.87;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2009;Tahun;1.04;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2009;Tahun;0.88;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2008;Tahun;0.13;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2008;Tahun;0.84;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2008;Tahun;1.24;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2008;Tahun;0.92;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2008;Tahun;1.15;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2007;Tahun;0.12;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2007;Tahun;0.57;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2007;Tahun;1.08;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2007;Tahun;1.12;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2007;Tahun;1.15;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2006;Tahun;0.19;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2006;Tahun;0.62;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2006;Tahun;0.94;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2006;Tahun;1.11;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2006;Tahun;1.09;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2005;Tahun;0.2;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2005;Tahun;0.51;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2005;Tahun;0.93;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2005;Tahun;1.17;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2005;Tahun;0.99;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2004;Tahun;0.09;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2004;Tahun;0.48;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2004;Tahun;0.96;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2004;Tahun;0.96;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2004;Tahun;0.92;"JAWA TIMUR"
